From,To,Seconds,Meters
EXTW,PANA,751,7459
EXTW,GPCC,684,10816
EXTW,SJOS,932,14079
EXTW,PLAC,1544,29568
EXTW,HBHO,724,6985
EXTW,MESA,1229,22972
EXTW,BEAC,835,9006
EXTW,LAMC,839,15427
EXTW,BPNC,909,9127
EXTW,PKVW,1215,22312
EXTW,WINF,1470,28030
EXTW,AMMC,1337,24193
EXTW,VICT,1025,20853
EXTW,AGBP,1315,13275
PVIS,CSNC,1280,19133
PVIS,HOAG,2051,41577
PVIS,AGEN,1513,18483
PVIS,LPAL,886,7406
PVIS,EXTW,1476,28729
PVIS,PVIS,0,0
PVIS,SCLE,2586,62873
PVIS,GREE,241,2361
PVIS,GGMC,1095,19445
PVIS,HVCC,1050,9248
PVIS,UCIM,986,16453
PVIS,MANO,1694,28217
PVIS,ORRH,1169,19957
PVIS,WAMC,1325,16312
PVIS,EDNA,1222,20335
PVIS,LHAB,740,8479
PVIS,PALM,2000,41838
PVIS,HSOU,1247,24376
PVIS,WAEC,1363,16626
PVIS,BVCC,1322,12150
PVIS,TOWN,1045,18813
PVIS,SCOA,2898,61632
PVIS,CVSB,1847,37508
PVIS,LAKE,2092,43256
PVIS,LPIH,1243,17601
PVIS,TUSH,1352,24491
PVIS,NNRC,1954,40274
PVIS,BGSJ,2470,56765
PVIS,HELP,1478,28692
PVIS,BGYL,779,9548
PVIS,COLL,1689,37498
PVIS,GGCH,1377,26098
PVIS,CMIS,2152,46562
PVIS,KINB,588,4721
PVIS,KINO,1095,20165
PVIS,STAN,1734,32345
PVIS,KINW,1474,28673
PVIS,CVLH,1954,42497
PVIS,FPCC,1081,19927
PVIS,ANHC,1301,16167
PVIS,FLAG,2015,40659
PVIS,CAPO,2666,63871
PVIS,GORD,533,5796
PVIS,ATCC,1336,17056
PVIS,FVRH,1790,28180
PVIS,MISS,2227,50443
PVIS,ROYL,1751,24129
PVIS,LEIS,867,7270
PVIS,ACNC,1356,16688
PVIS,ALTA,1130,19571
PVIS,PACI,1150,20646
PVIS,IRVR,1778,35345
PVIS,WINA,1469,18469
PVIS,NSUB,1814,39307
PVIS,ALAM,1890,24930
PVIS,PLAC,704,8862
PVIS,CHAP,1115,20692
PVIS,KNOT,1310,16809
PVIS,HBHO,2045,34995
PVIS,HBRI,1232,21902
PVIS,OCMM,1913,41317
PVIS,MESA,1915,39791
PVIS,CMCH,1532,25881
PVIS,COCT,1464,13887
PVIS,WLNT,1200,10781
PVIS,SMMC,2032,42635
PVIS,FOCC,983,17565
PVIS,KAIA,961,15783
PVIS,RGNT,1949,39335
PVIS,HVAL,2083,35322
PVIS,FREE,2037,42109
PVIS,QUAK,1555,29800
PVIS,CARE,1206,22213
PVIS,VIVA,1973,42384
PVIS,SCRT,1232,22379
PVIS,PREG,780,9057
PVIS,SNMR,1161,10670
PVIS,EVER,210,1961
PVIS,NEWO,1369,23446
PVIS,WMCS,1248,23626
PVIS,COVI,2459,50622
PVIS,SEAC,2178,36523
PVIS,WMCA,1159,9700
PVIS,ELIZ,247,2704
PVIS,PSUP,2033,40906
PVIS,CHOC,1079,18169
PVIS,COAS,1757,24198
PVIS,CVPL,1772,24443
PVIS,TERR,180,1802
PVIS,CMLH,950,10610
PVIS,PANA,1462,18418
PVIS,GPCC,1035,19052
PVIS,SJOS,1187,17611
PVIS,CMSA,1754,36280
PVIS,SJUD,312,2375
PVIS,HSUB,2045,34995
PVIS,BEAC,2156,37017
PVIS,LAMC,1934,25256
PVIS,BPNC,1241,15346
PVIS,PKVW,818,11546
PVIS,WINF,449,3594
PVIS,AMMC,929,7727
PVIS,VICT,1711,37672
PVIS,AGBP,882,10136
SCLE,CSNC,2220,51007
SCLE,HOAG,1898,45883
SCLE,AGEN,2681,62934
SCLE,LPAL,2325,56366
SCLE,EXTW,2148,53532
SCLE,PVIS,2643,63025
SCLE,SCLE,0,0
SCLE,GREE,2720,64855
SCLE,GGMC,2015,50137
SCLE,HVCC,2096,52731
SCLE,UCIM,1926,48327
SCLE,MANO,1902,45180
SCLE,COVI,1100,22087
SCLE,WAMC,2680,65019
SCLE,EDNA,2143,51027
SCLE,LHAB,3062,70877
SCLE,PALM,1180,24242
SCLE,HSOU,1575,41364
SCLE,WAEC,2717,65333
SCLE,BVCC,2435,58121
SCLE,TOWN,1876,46229
SCLE,SCOA,1061,11673
SCLE,CVSB,2403,60600
SCLE,LAKE,1289,27743
SCLE,LPIH,2598,66308
SCLE,TUSH,1700,40353
SCLE,PACI,2071,51338
SCLE,BGSJ,475,7781
SCLE,HELP,2211,53913
SCLE,BGYL,2507,61860
SCLE,COLL,1536,41804
SCLE,GGCH,2297,56790
SCLE,CMIS,957,19801
SCLE,KINB,2584,65013
SCLE,KINO,1777,47501
SCLE,STAN,2052,55048
SCLE,KINW,2233,54033
SCLE,CVLH,1111,23389
SCLE,SJUD,2782,63734
SCLE,FPCC,1829,44885
SCLE,ANHC,2656,64874
SCLE,FLAG,1862,44965
SCLE,CAPO,351,3847
SCLE,GORD,2364,58862
SCLE,ATCC,2690,65763
SCLE,FVRH,1791,46070
SCLE,MISS,756,14872
SCLE,ROYL,1934,44009
SCLE,LEIS,2381,56365
SCLE,ACNC,2711,65395
SCLE,ALTA,2050,50263
SCLE,NNRC,1800,44580
SCLE,IRVR,1270,30996
SCLE,WINA,2629,62452
SCLE,NSUB,1661,43613
SCLE,ALAM,2442,65874
SCLE,CMSA,1614,41818
SCLE,CHAP,1765,45950
SCLE,KNOT,2664,65516
SCLE,HBRI,1959,47237
SCLE,OCMM,1772,46826
SCLE,HSUB,2051,49402
SCLE,CMCH,1954,45030
SCLE,COCT,2415,53534
SCLE,WLNT,2239,53545
SCLE,SMMC,1189,23527
SCLE,FOCC,1855,47917
SCLE,KAIA,2108,54247
SCLE,RGNT,1575,35795
SCLE,HVAL,2021,49227
SCLE,FREE,1049,21597
SCLE,QUAK,2476,60492
SCLE,CARE,1766,43218
SCLE,VIVA,1082,23016
SCLE,SCRT,1647,42052
SCLE,PREG,3022,70304
SCLE,SNMR,2274,56641
SCLE,EVER,2689,64455
SCLE,NEWO,2020,48705
SCLE,WMCS,1671,42055
SCLE,ORRH,2090,50649
SCLE,SEAC,2177,51170
SCLE,WMCA,2190,53470
SCLE,ELIZ,2727,65198
SCLE,PSUP,1880,45212
SCLE,CHOC,1842,47833
SCLE,COAS,1876,43492
SCLE,CVPL,1846,43328
SCLE,TERR,2659,64296
SCLE,CMLH,3222,72576
SCLE,PANA,2622,62401
SCLE,GPCC,1956,49744
SCLE,SJOS,2020,46729
SCLE,PLAC,2509,57868
SCLE,HBHO,2051,49402
SCLE,MESA,1762,44097
SCLE,BEAC,2139,51655
SCLE,LAMC,2452,65647
SCLE,BPNC,2595,64053
SCLE,PKVW,2252,55325
SCLE,WINF,2507,61043
SCLE,AMMC,2372,57165
SCLE,VICT,1558,41978
SCLE,AGBP,2479,63065
GREE,CSNC,1333,20714
GREE,HOAG,2104,43158
GREE,AGEN,1259,16121
GREE,LPAL,698,6647
GREE,EXTW,1529,30309
GREE,PVIS,211,2344
GREE,SCLE,2638,64454
GREE,GREE,0,0
GREE,GGMC,1148,21025
GREE,HVCC,950,8635
GREE,UCIM,1039,18034
GREE,MANO,1747,29798
GREE,ORRH,1222,21538
GREE,WAMC,1071,13950
GREE,EDNA,1275,21916
GREE,LHAB,570,7608
GREE,PALM,2053,43419
GREE,HSOU,1300,25957
GREE,WAEC,1109,14264
GREE,BVCC,1081,9789
GREE,TOWN,1098,20393
GREE,SCOA,2951,63213
GREE,CVSB,1900,39088
GREE,LAKE,2145,44837
GREE,LPIH,989,15240
GREE,TUSH,1405,26072
GREE,NNRC,2007,41855
GREE,BGSJ,2522,58346
GREE,HELP,1531,30273
GREE,BGYL,832,11129
GREE,COLL,1742,39079
GREE,GGCH,1567,16825
GREE,CMIS,2205,48143
GREE,KINB,646,6546
GREE,KINO,1148,21746
GREE,STAN,1787,33926
GREE,KINW,1527,30254
